Reference, Value, Footprint, Datasheet, Distributor, Manuf. Part, Field4, Field6, Field7, Field8
"J2","LED Strip","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","https://datasheet.lcsc.com/szlcsc/2004291906_Ningbo-Xinlaiya-Elec-XY2500R-D-5-08-3P_C505825.pdf","lcsc.com","XY2500R-D-5.08-3P","","","",""
"J1","DC 5.5 - 42V","Connector_BarrelJack:BarrelJack_Horizontal","https://datasheet.lcsc.com/szlcsc/1912111437_XKB-Enterprise-DC-005-5A-2-0_C381116.pdf","lcsc.com","DC-005-5A-2.0","","","",""
"J3","ICSP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"D3","TX","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1811141223_TOGIALED-TJ-S1608SW6TGLC2G-A5_C192316.pdf","lcsc.com","TJ-S1608SW6TGLC2R-A5 ","","","",""
"R6","150","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/YAGEO-RC0805FR-07150RL_C114523.pdf","lcsc.com","RC0805FR-07150RL","","","",""
"D2","RX","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1811141223_TOGIALED-TJ-S1608SW6TGLC2G-A5_C192316.pdf","lcsc.com","TJ-S1608SW6TGLC2R-A5 ","","","",""
"R3","150","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/YAGEO-RC0805FR-07150RL_C114523.pdf","lcsc.com","RC0805FR-07150RL","","","",""
"U2","HC-05","MOUDLE-BLUETOOTH-HC-05_34P-27X13MM_:BT34P-SMD-1.5-26.9X13.0X2.2MM","https://components101.com/sites/default/files/component_datasheet/HC-05%20Datasheet.pdf","aliexpress.com","","Unavailable","SOIC-14","HuiCheng","None"
"DBG1","DBG-HC-PWR","TestPoint:TestPoint_Pad_D1.0mm","~"
"JP1","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~"
"JP2","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~"
"J4","DC 5.5 - 42V","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","https://datasheet.lcsc.com/szlcsc/1912251632_Ningbo-Kangnex-Elec-WJ15EDGRC-3-81-2P_C8387.pdf","lcsc.com","WJ15EDGRC-3.81-2P","","","",""
"C5","22uF","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1809131544_Vishay-Intertech-593D226X9004A2TE3_C215881.pdf","lcsc.com","593D226X9004A2TE3","","","",""
"R5","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"DBG2","DBG-HC-RST","TestPoint:TestPoint_Pad_D1.0mm","~"
"Q2","Q_PNP_EBC","Package_TO_SOT_SMD:SOT-323_SC-70_Handsoldering","https://datasheet.lcsc.com/szlcsc/1808280000_ROHM-Semicon-UMT2907A_C122972.pdf","lcsc.com","UMT2907A","","","",""
"D6","BAS40-04","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/85701/bas40v.pdf","lcsc.com","BAS40-04","","","",""
"H1","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3","~"
"H2","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3","~"
"H3","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3","~"
"H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3","~"
"C12","1000uF","Capacitor_SMD:CP_Elec_10x10","https://datasheet.lcsc.com/szlcsc/1912111437_Lelon-VEU102M0JTR-1010_C249735.pdf","lcsc.com","VEU102M0JTR-1010","","","",""
"C6","33uF","Capacitor_SMD:CP_Elec_10x10","https://datasheet.lcsc.com/szlcsc/1809291341_Lelon-VZH330M2ATR-1010_C249899.pdf","lcsc.com","VZH330M2ATR-1010","","","",""
"Q1","Q_PMOS_SDG","Package_TO_SOT_SMD:TO-252-3_TabPin4","https://datasheet.lcsc.com/szlcsc/Alpha-Omega-Semicon-AOS-AOD4185_C77993.pdf","lcsc.com","AOD4185L","","","",""
"C13","47uF","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1912111437_TDK-C3225X5R0J476MT000N_C338024.pdf","lcsc.com","C3225X5R0J476MT000N","","","",""
"C1","10uF","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://datasheet.lcsc.com/szlcsc/AVX-TAJA106K016RNJ_C7171.pdf","lcsc.com","TAJA106K016RNJ","","","",""
"D4","+5V","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1811141223_TOGIALED-TJ-S1608SW6TGLC2G-A5_C192316.pdf","lcsc.com","TJ-S1608SW6TGLC2G-A5 ","","","",""
"R15","470","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810311431_YAGEO-RC0805FR-07470RL_C114564.pdf","lcsc.com","RC0805FR-07470RL","","","",""
"R14","0.27","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/2009282237_YAGEO-RL0805JR-070R27L_C705550.pdf","lcsc.com","RL0805JR-070R27L","","","",""
"R13","0.01","Resistor_SMD:R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","https://datasheet.lcsc.com/szlcsc/2008171235_YAGEO-RL2512JK-070R01L_C705618.pdf","lcsc.com","RL2512JK-070R01L","","","",""
"C7","680nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/2004221632_TDK-C2012X7S2A684KT000N_C516764.pdf","lcsc.com","C2012X7S2A684KT000N","","","",""
"U5","LM25085MM","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/ds/symlink/lm25085.pdf","lcsc.com","LM25085MM/NOPB","","","",""
"R10","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201611_YAGEO-RC0805FR-0710KL_C84376.pdf","lcsc.com","RC0805FR-0710KL","","","",""
"C8","0.47uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/2009111606_TDK-C2012X7R1C474KT000N_C694187.pdf","lcsc.com","C2012X7R1C474KT000N","","","",""
"R8","90.9","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810301711_KOA-Speer-Elec-RK73B2ATTD102J_C159911.pdf","lcsc.com","RK73B2ATTD102J","","","",""
"C11","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1912111437_TDK-C2012X7R2A102KT020S_C415298.pdf","lcsc.com","C2012X7R2A102KT020S","","","",""
"R12","2.1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/2001062136_YAGEO-RC0805FR-072K1L_C273922.pdf","lcsc.com","RC0805FR-072K1L","","","",""
"R9","3.4k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/YAGEO-AC0805FR-073K4L_C228795.pdf","lcsc.com","RC0805FR-073K4L ","","","",""
"C10","47uF","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1912111437_TDK-C3225X5R0J476MT000N_C338024.pdf","lcsc.com","C3225X5R0J476MT000N","","","",""
"L1","15uH","blueled:SMMS1350-150M","https://datasheet.lcsc.com/szlcsc/1912111437_Sunlord-MWSA1004S-150MT_C408488.pdf","lcsc.com","MWSA1004S-150MT","","","",""
"D5","MBRB2060","Package_TO_SOT_SMD:TO-263-3_TabPin2","https://datasheet.lcsc.com/szlcsc/Sangdest-Microelectronicstronic-Nanjing-MBRB2060CT_C260296.pdf","lcsc.com","MBRB2060CT","","","",""
"C9","4700pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1912111437_TDK-C2012C0G1H472JT0H0N_C342964.pdf","lcsc.com","C2012C0G1H472JT0H0N","","","",""
"S1","SWITCH-DPDT-PTH-GPI-152-3013","blueled:XKB7070-Z","https://datasheet.lcsc.com/szlcsc/2002271810_XKB-Enterprise-XKB7070-Z_C318863.pdf","lcsc.com","XKB7070-Z","SWCH-10554","","",""
"C2","22uF","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1809131544_Vishay-Intertech-593D226X9004A2TE3_C215881.pdf","lcsc.com","593D226X9004A2TE3","","","",""
"D1","+3.3V","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1811141223_TOGIALED-TJ-S1608SW6TGLC2G-A5_C192316.pdf","lcsc.com","TJ-S1608SW6TGLC2G-A5 ","","","",""
"R2","150","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/YAGEO-RC0805FR-07150RL_C114523.pdf","lcsc.com","RC0805FR-07150RL","","","",""
"U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf","lcsc.com","AMS1117-3.3","","","",""
"R7","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"C4","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","lcsc.com","CL21B104KBCNNNC","","","",""
"R4","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"U4","AT25SF081","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.adestotech.com/wp-content/uploads/DS-AT25SF081_045.pdf","lcsc.com","AT25SF081-SHD-T","","","",""
"R17","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"R16","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"Q3","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/BS/BSS138.pdf","lcsc.com","BSS138","","","",""
"R11","470","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810311431_YAGEO-RC0805FR-07470RL_C114564.pdf","lcsc.com","RC0805FR-07470RL","","","",""
"HRT1","Heartbeat","TestPoint:TestPoint_Pad_D1.0mm","~"
"X1","CSTCE","blueled:Resonator_SMD_muRata_CSTNE_3Pin_3.2x1.3mm","https://datasheet.lcsc.com/szlcsc/1912111437_Murata-Electronics-CSTNE8M00G55Z000R0_C341524.pdf","lcsc.com","CSTNE8M00G55Z000R0","","","",""
"R1","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"SW2","PUSH","Button_Switch_SMD:SW_SPST_FSMSM","https://datasheet.lcsc.com/szlcsc/1811082126_Korean-Hroparts-Elec-K2-1107ST-A4SW-06_C118141.pdf","lcsc.com","K2-1107ST-A4SW-06","","","",""
"DBG0","Debug","TestPoint:TestPoint_Pad_D1.0mm","~"
"C3","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","lcsc.com","CL21B104KBCNNNC","","","",""
"U1","ATmega328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","lcsc.com","ATmega328P-AU","","","",""
